URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle/929819,"B/27 Cavalli View Road, Kerikeri","$999,000","Island Views, Loft & Studio, Native Beauty

Welcome to the place you can’t wait to call home, an idyllic ocean-view escape with abundant native flora and glorious views that truly set it apart.

Set on approximately two acres in Takou Bay, this north-facing botanic haven enjoys a frost-free coastal microclimate just 24 minutes from bustling Kerikeri township.

With two acres of private, peaceful space, you can wander through flourishing gardens, across sprawling lawns, and into the kanuka shrubland where tui, fantail, grey warblers, silvereyes and baby brown quail are regular visitors. The north-facing island-view aspect invites warm winter sunshine into the home while capturing picturesque views to the Cavalli Islands. A freestanding, custom-built studio tucked in the leafy garden is perfect for art, hobbies or work-from-home use.

Designed for maximum connection with the natural environment, the home offers warmth, natural light and personality, while capturing inspiring views from the huge timber deck, generous open plan living, and romantic master bedroom. Sliding glass doors in every main room create effortless indoor-outdoor flow, while the renovated kitchen is ready to impress.

The expansive master bedroom enjoys calming views and includes a walk-in robe and ensuite. The second bedroom has a private balcony and built-in robe, while the third bedroom or office also includes a built-in robe.

Above the double garage and storage shed is a large loft space ideal for storage, creative use, a home office, guest accommodation, teen retreat or generous fourth bedroom.

Features include a bespoke modern kitchen, wood burner, claw-foot bath, polished timber floors, sarked timber ceilings, spacious decking, fresh paint, quality window furnishings, a 2020 Colorsteel roof, artist’s studio, and a subtropical orchard with 14 fruit varieties.

A beautiful nature retreat, retirement haven, or the perfect base for a creative home business, this is a property well worth seeing.

Read more",Manus Mulder : 021163 3397
https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle/930012,"1188G State Highway 10, Kerikeri","$890,000","Open home for 1188G State Highway 10, Kerikeri. Starting at 01:00PM and finishing at 01:30PM 

Open home for listing ID:930012. Listing by Simon Hart from Barfoot & Thompson.",Simon Hart : 021024 00648 | Gillian Hurst : 021029 78894
https://www.barfoot.co.nz/property/residential/far-north-district/okaihau/lifestyle/930025,"1115A Horeke Road, Okaihau","$479,000","Open home for 1115A Horeke Road, Okaihau. Starting at 10:00AM and finishing at 11:00AM 

Open home for listing ID:930025. Listing by Liz McCarthy from Barfoot & Thompson.",Liz McCarthy : 027499 1573 | Suzy Carmody : 022040 5536
https://www.barfoot.co.nz/property/residential/franklin-district/karaka/lifestyle/930115,"121 Jesmond Road, Karaka",Auction Thursday 2nd April 2026(unless sold prior),ResidentialFranklin DistrictKaraka121 Jesmond Road,Brendon Moore : 027238 6660 | Louise Moore : 027234 9367
https://www.barfoot.co.nz/property/residential/franklin-district/otaua/lifestyle/930369,"73 Robertson Road, Otaua",For sale by negotiation,ResidentialFranklin DistrictOtaua73 Robertson Road,Cindy Guo : 021028 96198 | Mandy Li-Geraghty : 021892 088
https://www.barfoot.co.nz/property/residential/franklin-district/pukekohe-east/lifestyle-land/929799,"20 Bush Road, Pukekohe East",For sale by negotiation,"PREMIUM LIFESTYLE LOTS – COUNTRYSIDE LIVING

An exceptional opportunity presents to secure an outstanding lifestyle lot in a tightly held and highly sought after Franklin location. Elevated positions throughout capture expansive outlooks and breathtaking sunsets. Covenants have cultivated an area of high quality homes and preserved bushland, ensuring a rural atmosphere while maintaining the prestige and long-term value in this elite lifestyle location.

Zoned Rural – Countryside Living, four individual lots are available, ranging in size. Lot 11 spans 3.85 hectares, Lot 10 offers 3.32 hectares, Lot 9 comprises 1.89 hectares and Lot 8 measures 1.67 hectares. Each lot offers a mix of gentle contours, complemented by mature trees, native bush and abundant birdlife, creating a peaceful and private rural environment.

Excellently positioned in a rapidly growing location between Drury and Pukekohe, everyday convenience is close at hand. Pukekohe township and its amenities are just 6km away, with easy access to the southern motorway via the Drury on-ramp approximately 8km away. The future Drury Metropolitan Centre is planned as a vibrant community complemented by the Drury South Crossing Business Hub. With major infrastructure projects and large-scale developments already in progress, this property is ideally positioned to benefit from Drury’s emergence as a key urban centre.

School bus routes are nearby, with zoning for Pukekohe High School and Pukekohe Intermediate, along with the highly regarded Pukekohe East Primary School. The recently electrified KiwiRail line now provides a direct connection from Pukekohe through to Auckland City, offering excellent accessibility for commuters and access to leading private schools. Local transport options are also available to ACG Strathallan, located approximately 15.5km away.

Infrastructure is already in place, including concrete driveway access, power and fibre optic connections, allowing future development to proceed with ease. Each lot offers the freedom and space to create your own rural retreat. Lifestyle sections of this quality, size and location are increasingly rare. Enquire today to secure your preferred lot in this outstanding Franklin countryside setting.

4 individual lifestyle lots available / Premium Franklin location
Zoned Rural – Countryside Living / Gentle contoured land
Lot 11: 3.85 hectares / Lot 10: 3.32 hectares
Lot 9: 1.89 hectares / Lot 8: 1.67 hectares
Mature trees, native bush & abundant birdlife
Elevated positions capturing expansive views
Concrete driveway access, power and fibre optic connections
Strict covenants ensuring high-quality homes & preserved bushland
Peaceful rural setting with long-term prestige and value
6km to Pukekohe township and amenities
8km to Drury on-ramp, easy access to the southern motorway
Close to the future Drury Metropolitan Centre & Drury South Crossing
Electrified KiwiRail line connecting Pukekohe to Auckland City
School bus stop nearby to Pukekohe East Primary School
Zoned for Pukekohe High School & Pukekohe Intermediate
Transport options available to ACG Strathallan (approx 15.5km)

Read more",Scott McElhinney : 027210 8887
https://www.barfoot.co.nz/property/residential/manukau-city/alfriston/lifestyle/929801,"1180 Alfriston Road, Alfriston",Auction Wednesday 1st April 2026(unless sold prior),"Open home for 1180 Alfriston Road, Alfriston. Starting at 02:00PM and finishing at 02:30PM 

Open home for listing ID:929801. Listing by Rupi Sekhon from Barfoot & Thompson.",Rupi Sekhon : 027310 0000 | Cameron Archer : 0210837 5992
https://www.barfoot.co.nz/property/residential/manukau-city/clevedon/lifestyle/930799,"29 Otau Mountain Road, Clevedon",Deadline sale closes 8th April 2026 at 4:00PM(unless sold prior),"Open home for 29 Otau Mountain Road, Clevedon. Starting at 02:00PM and finishing at 02:30PM 

Open home for listing ID:930799. Listing by Suzy Causebrook from Barfoot & Thompson.",Suzy Causebrook : 021485 606
https://www.barfoot.co.nz/property/residential/rodney-district/warkworth/lifestyle-land/930745,"Lot 6 Mason Heights, Warkworth",For sale by negotiation,"A Rare Opportunity in Warkworth

Forget the previous price tags – the vendor is ready to move on.

This 11 acre parcel of prime land, located adjacent to a rapidly growing residential subdivision, presents an outstanding development opportunity. The property sits within the Warkworth South Development area known as Waimanawa, a strategic gateway location between Warkworth and Auckland in one of the region’s fastest growing corridors.

The land is already zoned Residential Large Lot, with an approximate section size of 4,000m². Savvy investors and developers may recognise the potential to add significant value by collaborating with neighbouring landowners to establish the necessary infrastructure and further subdivide the land into a small scale residential development.

With the completion of the Warkworth motorway extension, travel times to Auckland have significantly improved, with off peak journeys now taking around 45 minutes.

Conveniently located just a 3 minute drive from Warkworth town centre, the property is ideally positioned for future residential neighbourhoods.

For more information, please contact me.

Read more",Hanok Shin : 021665 500
https://www.barfoot.co.nz/property/residential/tauranga-district/pyes-pa/lifestyle/930246,"64 Oropi Gorge Road, Pyes Pa",For sale by negotiation,"Open home for 64 Oropi Gorge Road, Pyes Pa. Starting at 02:00PM and finishing at 02:30PM 

Open home for listing ID:930246. Listing by Carlene Reid from Barfoot & Thompson.",Carlene Reid : 021759 558
