URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/rental/auckland-city/mission-bay/unit/65002557,"2/30 Atkin Avenue, Mission Bay","$685 per week, available 8th April","Live by the beach!!

Please register online on https://www.barfoot.co.nz/branches/parnell for a viewing.

A short stroll to Mission Bay waterfront, with its idyllic pohutukawa-lined beach and parks, get active (by land or by sea) or simply relax and explore the surrounding areas or simply just enjoy a coffee at a local cafe. A short drive to central city and access to public transport

Pets negotiable by consent

Featuring:
- 2 Bedrooms
- 1 Bathroom
- Modern Kitchen
- Fridge, Washing Machine and Dryer Included
- One off street carpark
- Single garage - great use for storage
- Fenced Private Courtyard, with garden sheds

If this is your new home, simply register your interest online or book a viewing today.

PLEASE NOTE: You MUST REGISTER for an Inspection so we can keep you up-to-date on the status of the inspections and property. Inspections may be cancelled if there are no attendees registered or confirmed.




Read more",Elinor Mack : 027456 1354
https://www.barfoot.co.nz/property/rental/auckland-city/mt-wellington/house/11021906,"1 Keate Place, Mt Wellington","$750 per week, available now","Spacious 3 Bedroom Home In Mt Wellington

Step into comfort with this stunning, standalone home superbly positioned in the heart of Mt Wellington. Bright and spacious, this well looked after home with a large section is perfect for families or professionals seeking convenience and space.

Property Overview:
- 3 double bedrooms
- 1 modern bathroom
- Spacious lounge opens on to a sunny patio area
- Kitchen & dining area combined which opens onto a sunny deck.
- double garage & additional off-street parking
- front and back yard
- stand alone home
- Convenient location
- 4 minute drive to Sylvia Park Shopping Centre and public transport

Available NOW

Move In Costs
$750 - First week rent
$3,000 - Bond
-------------
$3,750 Total

No smoking allowed, Pets Negotiable.

Read more",Kurtis Thompson : 027836 1861
https://www.barfoot.co.nz/property/rental/auckland-city/onehunga/house/14001345,"84 Quadrant Road, Onehunga","$780 per week, available 10th April","Spacious Villa In Great Location!

Welcome to your dream home at 84 Quadrant Road! This spacious property boasts a generously large backyard, perfect for relaxation and entertainment.

Pets are more than welcome here, so bring along your furry friends to enjoy the ample outdoor space.

Conveniently located directly opposite a sprawling park, this home is ideal for nature lovers and outdoor enthusiasts. Just a stone's throw away from the vibrant Onehunga Dress Mart Mall and Royal Oak Mall, you'll have easy access to shopping, dining, and entertainment options.

With close proximity to shops, bus routes, and motorway access, your daily commute and errands will be a breeze.

This three-bedroom, one-bathroom home features a separate toilet and parking spaces for 3 cars ensuring comfort and convenience for you and your loved ones.

Don't miss out on this fantastic opportunity! Submit your application online today and secure your spot in this prime location.

Total Move in Cost: 5 weeks rent (4 weeks bond + 1 weeks rent in advance)

Book a viewing: Register your interest by clicking the 'BOOK A VIEWING LINK' on this page, to transfer to our online 'BOOKING SYSTEM', register and select the available viewing time. Note: Once registered - All viewing times and updates will be messaged to you via this automated system.

Read more",Samantha Sinclair : 027839 3779
https://www.barfoot.co.nz/property/rental/auckland-city/otahuhu/house/11024354,"9 Mason Avenue, Otahuhu","$690 per week, available 16th March","HUGE Home – Fully Renovated with Massive Bedrooms!

***To register for viewings please click on ""book a viewing time"" on the Barfoot website, enter your contact details and you will automatically be updated when viewing time is available**

If you’re tired of ""cramped"" city living, you have to see the scale of this home. We aren't joking—these bedrooms are absolutely humongous.

The Highlights:
- 3 Massive Bedrooms: Plenty of room for king-sized beds, desks, and lounging areas.
- Total Renovation: Be the first to enjoy a fresh, modern interior from top to bottom.
- Parking for Two: Includes 2 dedicated off-street car parks (no more circling the block!).
- Light & Airy: Large windows and an open feel throughout.
- A pet bond may be required if the landlord consents to one or more pets being kept at the property.

Move-In Costs:
- 1 week's rent in advance: $690
- 4 weeks’ bond: $2,760
**Total Move-In Costs: $3,450**

Feel free to view the property from the roadside, however please do not enter the property under any circumstances unless you are with a Barfoot & Thompson agent. When arriving for viewing please park on the roadside and do not park on the driveway.

For more info please call/text:
Zaf - 027 839 11 29
Jason - 027 477 36 69

Read more",Zafer Isiklar : 027839 1129 | Jason Raj : 027477 3669
https://www.barfoot.co.nz/property/rental/franklin-district/bombay/house/46000789,Bombay,"$900 per week, available 27th March","Commuters Dream!

Ideally positioned for effortless commuting, this split-level lifestyle property puts the motorway and Pukekohe right at your doorstep. Enjoy the rare luxury of managing your own livestock and acreage by morning, then heading to work with ease. It’s the functional, rural retreat you’ve been waiting for.

- Three double bedrooms, two single bedrooms
- Large kitchen with standalone electric stove/oven and dishwasher
- Large lounge with and heat pump
- Large rumpus room downstairs
- Separate dining room
- Bathroom with separate bath
- Separate toilet upstairs and downstairs
- Bathroom with separate shower
- Separate toilet
- Separate spacious laundry
- Double automated separate garage with house access
-Two off-street parks
- Lawns/gardens maintained by the tenant
- Partially fenced
- Small patio and wrap around garden with space for kids to play
- Tank water
- Pets considered
- Pukekohe East School zoning
- Livestock paddocks available

Could this be your next rental property? Confirm all viewing times at: barfoot.co.nz/branches/pukekohe - by copying and pasting this link into your browser:

https://tinyurl.com/2p8u9c6n

Click on ""For Rent"" and click on the ""Book a viewing"" link! Please note: You must view the property before applying. Please do not enter the property outside of the set viewing times.

Book your viewing today!

Read more",Chloe Curnow : 027498 7911
https://www.barfoot.co.nz/property/rental/franklin-district/patumahoe/house/46004621,"162 Woodhouse Road, Patumahoe","$1,000 per week, available 26th March","Equestrian's Dream In Patumahoe

Sunny north facing, two-storey, four bedroom (three double, one single) home with panoramic views.

8.42ha of fenced paddocks (15 large, 5 small).
Stables, yards, arena and shedding!

- Four bedrooms -master with ensuite
- Country kitchen with great cupboard and bench space
- Large lounge opening up onto wrap-around deck with panoramic views and wood burner for cosy evenings
- Two bathrooms (one downstairs with shower and one upstairs with separate bath and shower)
- Two separate toilets (one downstairs and one upstairs)
- Large laundry with bench space adjacent to the kitchen
- Large shed for parking multiple vehicles and ATVs
- Fully fenced property and separate paddocks
- Wrap around deck accessed from the lounge overlooking the entire property and hills beyond
- Tank water
- Domestic pets are by negotiation. Plenty of space for horses or cattle
- Zoned for Patumahoe Primary School, Mauku School & Pukekohe Intermediate

Available immediately on a 1 year fixed term tenancy, with the possibility of renewal.

One week rent: $1000.00 Bond: $4000.00 - Total in-going amount: $5000.00

Could this be your next rental property? Confirm all viewing times by copying and pasting this link into your browser:

https://tinyurl.com/2p8u9c6n

Click on the property and then click on the “Book a viewing"" link! Please note: You must view the property before applying. Please don’t enter the property outside of the set viewing times.

Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person.

We are currently not advertising on Facebook Marketplace.

Book your viewing today!

Read more",Caitlin Bonnar : 027498 0036
https://www.barfoot.co.nz/property/rental/franklin-district/pukekohe/house/46002870,"62 Tuhimata Road, Pukekohe","$690 per week, available 10th April","COUNTRY LIVING

Not viewable from the road appointment only.
Features

Here it is the fantastic rural home you have been searching for with this property comes a lovely bathroom, large lounge and dinning area with fire place and modern kitchen its got everything you need. The property also has a good rural outlook, a double external garage. Pets considered to approved applicants. Paerata school zone.
Please note, their is no land available for this property.

- Three bedroom
- Open plan kitchen, dining and lounge
- Gas 6 top burner
- Bathroom with shower and claw bath
- Off street parking x 2
- Sun room
- Separate double garage
- log burner
- Town water
- Healthy Home Compliant

Available 10/04/2026 on a 1 year fixed term tenancy,

Two weeks rent: $1,380 Bond: $2,760 - Total in-going amount: $4,140

Could this be your next rental property? Confirm all viewing times at:
barfoot.co.nz/branches/pukekohe - by copying and pasting this link into your browser:
https://tinyurl.com/2p8u9c6n

Click on For Rent and click on the Book a viewing link!
Please note: You must view the property before applying. Please do not enter the property outside of the set viewing times.

Book your viewing today so you don't miss out!

Read more",Pukekohe Property Management : 09237 3140
https://www.barfoot.co.nz/property/rental/manukau-city/mangere/house/11024498,"13 Nga Waka Place, Mangere","$890 per week, available 22nd April","Family Home with Privacy & Space – Close to Al-Madina School

This beautifully presented standalone home offers comfort, space, and convenience in a highly sought-after location. Perfect for families or professionals looking for extra room and privacy.

Features include:
*5 double bedrooms
*2 modern bathrooms (family bathroom and ensuite) plus a separate guest toilet downstairs
*Contemporary kitchen with quality fittings
*Open-plan kitchen, dining, and living area
*2 heat pumps for year-round comfort
*Fully fenced and gated private yard
*Rear deck with peaceful reserve views
*Double internal-access carpeted garage, plus an additional car park outside the garage and plenty on-street parking
*Tucked away in a quiet cul-de-sac
*Convenient location with easy motorway access and close to local amenities

Zoned for Mangere Central School (1.2 km), Sir Douglas Bader Intermediate (1.8 km), and Mangere College (2.7 km). Al-Madina School is also nearby, just 1.5 km away.

Available from 22 April 2026.

Total Move in cost (5 Weeks )
1 weeks rent in advance
4 weeks rent as a bond

No Smoking allowed

For more information, please Call/Text:
Andrew - 027 4319563
Office 09 276 6784

To speed up the application process, you can now apply online on the Barfoot & Thompson website !!

Please view the property from the roadside only. DO NOT ENTER the property or park on the driveway under any circumstances.

* TO REGISTER for Viewings - please click on 'Book a Viewing Time' on the Barfoot & Thompson website, enter your contact details and you will automatically be updated when viewing time is available.*

Disclaimer : 'Beware of Scams !! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.'

Read more",Andrew Lim : 027431 9563
https://www.barfoot.co.nz/property/rental/manukau-city/papatoetoe/house/11010035,"1/29 Kenderdine Road, Papatoetoe","$750 per week, available now","Spacious 3-Bedroom Family Home for Rent!

This brand new property located near to public facilities where train station is only 5 minutes walking distance, Papatoetoe Intermediate & Papatoetoe Central School are come under zone and many facilities which you can't miss.

This property offers-
- 3 Spacious Bedrooms
- Open plan living/ dining area
- Modern kitchen
- Separate Laundry
- Single internal garage

If you think this property ticks all the boxes of your requirement then give me a quick call on 0278860606.

Property is available now

Total move in cost- $4200.00
Rent - $1500 (2 x weeks)
Bond- $3000 (4 x weeks)

No Smoking allowed.

To speed up the application process, you can now apply online on the Barfoot & Thompson website !!

Please view the property from the roadside only. DO NOT ENTER the property or park on the driveway under any circumstances.

* TO REGISTER for Viewings - please click on 'Book a Viewing Time' on the Barfoot & Thompson website, enter your contact details and you will automatically be updated when viewing time is available.*

Beware of Scams: Barfoot & Thompson does not ask for money in emails without undertaking the full application process, checks and tenancy agreements being drawn up. Payment can be made at a branch or to our BNZ account supplied inside the tenancy agreement. If you are unsure if a request is legitimate, please phone the branch and check with the Property Manager.

Covid health and safety protocols will apply:
· Please do not attend the viewing if you are unwell, have any Covid-19 symptoms or are required to self-isolate or been advised to do so.
· Please refrain from touching anything during the viewing and use the sanitiser provided.
· Social distancing of 1 metre must be observed and a one-in, one-out policy may be operated to allow for this.
· Masks required for all attendees over 12 years old unless an exemption applies.

Read more",Prayrna Dewan : 027886 0606
https://www.barfoot.co.nz/property/rental/manukau-city/papatoetoe/house/11019023,"2/28 Allenby Road, Papatoetoe","$650 per week, available 2nd April","Charming 2-Bedroom Home in a Quiet Neighborhood! - Pets welcome!

PLEASE REGISTER YOUR DETAILS TO BE ADVISED OF VIEWING TIMES

***To register for viewings please click on ""book a viewing time"" on the Barfoot website, enter your contact details and you will automatically be updated when viewing time is available**

**Property Features:**
- 2 Bedrooms:
- Newly Renovated Bathroom
- 1 Garage
- 2 Secure Off-Street Parking
- Separate Laundry
- Gas Cooktop
- Fully Fenced & Gated
- Alarm System
- Private Deck
- Shed & Massive Backyard
- Friendly & Quiet Neighborhood
- A pet bond may be required if the landlord consents to one or more pets being kept at the property

Available from 2 April 2026

Move-In Costs:
- 2 weeks' rent in advance: $1,300
- 4 weeks’ bond: $2,600
**Total Move-In Costs: $3,900**

Feel free to view the property from the roadside, however please do not enter the property under any circumstances unless you are with a Barfoot & Thompson agent. When arriving for viewing please park on the roadside and do not park on the driveway.

For more info please call/text:
Zaf - 027 839 1129
Jason - 027 477 36 69

Beware of scams! Barfoot and Thompson do not ask for any money to paid upfront for our properties until after you have viewed by a staff member who will be wearing I.D and travel in a sign-written vehicle and completed our application form. If you are the successful applicant, we will provide you with a tenancy agreement and clear instructions on what money you are required to pay and when. If unsure, please give us a call or pop into our branch and see us in person.


Read more",Zafer Isiklar : 027839 1129 | Jason Raj : 027477 3669
