URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house-on-cross-lease/930563,"1/24 Saint Jude Street, Avondale",Auction Thursday 9th April 2026(unless sold prior),"Open home for 1/24 Saint Jude Street, Avondale. Starting at 01:15PM and finishing at 01:45PM 

Open home for listing ID:930563. Listing by Anna Lechtchinski from Barfoot & Thompson.",Anna Lechtchinski : 027271 8630
https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/925829,"2/2 Plane Street, Avondale",Auction Friday 10th April 2026(unless sold prior),"Open home for 2/2 Plane Street, Avondale. Starting at 01:30PM and finishing at 02:00PM 

Open home for listing ID:925829. Listing by Pauline Lam from Barfoot & Thompson.",Pauline Lam : 021147 0148 | Daniel Leung : 021128 1978
https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/930462,"Lot 15-21/11&15 Saint Jude Street, Avondale",For sale by negotiation,"Brand-New Avondale: Train-Ready Living

Secure a brand-new, freehold 2-bedroom townhouse in Avondale—modern two-level living close to rail, schools and everyday convenience (under construction; estimated completion September 2026).

** Freehold title (final title plan pending)
** 2 bedrooms + 2 bathrooms
** Two-level layout for easy living
** Brand-new build (under construction; off-plan opportunity)
** Early-Bird Deal is available
** Ability to personalise selected finishes when buying off-plan (subject to stage)
** 10-Year Build Guarantee
** Handy to Avondale train station and bus routes
** Close to Avondale town centre, key arterials and motorway access
** In-zone for Avondale Primary, Avondale Intermediate and Avondale College

Set above Avondale Racecourse, these smart new homes are designed for low-maintenance living with light-filled interiors and a layout that simply works—ideal for first-home buyers, downsizers, or investors wanting a solid, easy-to-rent option in a high-demand location.

Buying off-plan can mean getting in early and tailoring the look to suit your style (where available). With transport links nearby and schools and shops within easy reach, daily life here is straightforward—and the long-term appeal is clear.
Contact Roman and Joleen for viewing. Conjunctional sales are welcome.
*Land site details are not fully confirmed and are subject to the final title plan.

Read more",Roman Hu : 021590 027 | Joleen Wang : 021525 168
https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/930467,"Lot 15/11&15 Saint Jude Street, Avondale",For sale by negotiation,"Brand-New Avondale: Train-Ready Living

Secure a brand-new, freehold 2-bedroom townhouse in Avondale—modern two-level living close to rail, schools and everyday convenience (under construction; estimated completion September 2026).

** Freehold title (final title plan pending)
** 2 bedrooms + 2 bathrooms
** Two-level layout for easy living
** Brand-new build (under construction; off-plan opportunity)
** Early-Bird Deal is available
** Ability to personalise selected finishes when buying off-plan (subject to stage)
** 10-Year Build Guarantee
** Handy to Avondale train station and bus routes
** Close to Avondale town centre, key arterials and motorway access
** In-zone for Avondale Primary, Avondale Intermediate and Avondale College

Set above Avondale Racecourse, these smart new homes are designed for low-maintenance living with light-filled interiors and a layout that simply works—ideal for first-home buyers, downsizers, or investors wanting a solid, easy-to-rent option in a high-demand location.

Buying off-plan can mean getting in early and tailoring the look to suit your style (where available). With transport links nearby and schools and shops within easy reach, daily life here is straightforward—and the long-term appeal is clear.
Contact Roman and Joleen for viewing. Conjunctional sales are welcome.
*Land site details are not fully confirmed and are subject to the final title plan.

Read more",Roman Hu : 021590 027 | Joleen Wang : 021525 168
https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/930469,"Lot 16/11&15 Saint Jude Street, Avondale",For sale by negotiation,"Brand-New Avondale: Train-Ready Living

Secure a brand-new, freehold 2-bedroom townhouse in Avondale—modern two-level living close to rail, schools and everyday convenience (under construction; estimated completion September 2026).

** Freehold title (final title plan pending)
** 2 bedrooms + 2 bathrooms
** Two-level layout for easy living
** Brand-new build (under construction; off-plan opportunity)
** Early-Bird Deal is available
** Ability to personalise selected finishes when buying off-plan (subject to stage)
** 10-Year Build Guarantee
** Handy to Avondale train station and bus routes
** Close to Avondale town centre, key arterials and motorway access
** In-zone for Avondale Primary, Avondale Intermediate and Avondale College

Set above Avondale Racecourse, these smart new homes are designed for low-maintenance living with light-filled interiors and a layout that simply works—ideal for first-home buyers, downsizers, or investors wanting a solid, easy-to-rent option in a high-demand location.

Buying off-plan can mean getting in early and tailoring the look to suit your style (where available). With transport links nearby and schools and shops within easy reach, daily life here is straightforward—and the long-term appeal is clear.
Contact Roman and Joleen for viewing. Conjunctional sales are welcome.
*Land site details are not fully confirmed and are subject to the final title plan.

Read more",Roman Hu : 021590 027 | Joleen Wang : 021525 168
https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/930472,"Lot 17/11&15 Saint Jude Street, Avondale",For sale by negotiation,"Brand-New Avondale: Train-Ready Living

Secure a brand-new, freehold 2-bedroom townhouse in Avondale—modern two-level living close to rail, schools and everyday convenience (under construction; estimated completion September 2026).

** Freehold title (final title plan pending)
** 2 bedrooms + 2 bathrooms
** Two-level layout for easy living
** Brand-new build (under construction; off-plan opportunity)
** Early-Bird Deal is available
** Ability to personalise selected finishes when buying off-plan (subject to stage)
** 10-Year Build Guarantee
** Handy to Avondale train station and bus routes
** Close to Avondale town centre, key arterials and motorway access
** In-zone for Avondale Primary, Avondale Intermediate and Avondale College

Set above Avondale Racecourse, these smart new homes are designed for low-maintenance living with light-filled interiors and a layout that simply works—ideal for first-home buyers, downsizers, or investors wanting a solid, easy-to-rent option in a high-demand location.

Buying off-plan can mean getting in early and tailoring the look to suit your style (where available). With transport links nearby and schools and shops within easy reach, daily life here is straightforward—and the long-term appeal is clear.
Contact Roman and Joleen for viewing. Conjunctional sales are welcome.
*Land site details are not fully confirmed and are subject to the final title plan.

Read more",Roman Hu : 021590 027 | Joleen Wang : 021525 168
https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/930473,"Lot 18/11&15 Saint Jude Street, Avondale",For sale by negotiation,"Brand-New Avondale: Train-Ready Living

Secure a brand-new, freehold 2-bedroom townhouse in Avondale—modern two-level living close to rail, schools and everyday convenience (under construction; estimated completion September 2026).

** Freehold title (final title plan pending)
** 2 bedrooms + 2 bathrooms
** Two-level layout for easy living
** Brand-new build (under construction; off-plan opportunity)
** Early-Bird Deal is available
** Ability to personalise selected finishes when buying off-plan (subject to stage)
** 10-Year Build Guarantee
** Handy to Avondale train station and bus routes
** Close to Avondale town centre, key arterials and motorway access
** In-zone for Avondale Primary, Avondale Intermediate and Avondale College

Set above Avondale Racecourse, these smart new homes are designed for low-maintenance living with light-filled interiors and a layout that simply works—ideal for first-home buyers, downsizers, or investors wanting a solid, easy-to-rent option in a high-demand location.

Buying off-plan can mean getting in early and tailoring the look to suit your style (where available). With transport links nearby and schools and shops within easy reach, daily life here is straightforward—and the long-term appeal is clear.
Contact Roman and Joleen for viewing. Conjunctional sales are welcome.
*Land site details are not fully confirmed and are subject to the final title plan.

Read more",Roman Hu : 021590 027 | Joleen Wang : 021525 168
https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/930474,"Lot 19/11&15 Saint Jude Street, Avondale",For sale by negotiation,"Brand-New Avondale: Train-Ready Living

Secure a brand-new, freehold 2-bedroom townhouse in Avondale—modern two-level living close to rail, schools and everyday convenience (under construction; estimated completion September 2026).

** Freehold title (final title plan pending)
** 2 bedrooms + 2 bathrooms
** Two-level layout for easy living
** Brand-new build (under construction; off-plan opportunity)
** Early-Bird Deal is available
** Ability to personalise selected finishes when buying off-plan (subject to stage)
** 10-Year Build Guarantee
** Handy to Avondale train station and bus routes
** Close to Avondale town centre, key arterials and motorway access
** In-zone for Avondale Primary, Avondale Intermediate and Avondale College

Set above Avondale Racecourse, these smart new homes are designed for low-maintenance living with light-filled interiors and a layout that simply works—ideal for first-home buyers, downsizers, or investors wanting a solid, easy-to-rent option in a high-demand location.

Buying off-plan can mean getting in early and tailoring the look to suit your style (where available). With transport links nearby and schools and shops within easy reach, daily life here is straightforward—and the long-term appeal is clear.
Contact Roman and Joleen for viewing. Conjunctional sales are welcome.
*Land site details are not fully confirmed and are subject to the final title plan.

Read more",Roman Hu : 021590 027 | Joleen Wang : 021525 168
https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/930476,"Lot 20/11&15 Saint Jude Street, Avondale",For sale by negotiation,"Brand-New Avondale: Train-Ready Living

Secure a brand-new, freehold 2-bedroom townhouse in Avondale—modern two-level living close to rail, schools and everyday convenience (under construction; estimated completion September 2026).

** Freehold title (final title plan pending)
** 2 bedrooms + 2 bathrooms
** Two-level layout for easy living
** Brand-new build (under construction; off-plan opportunity)
** Early-Bird Deal is available
** Ability to personalise selected finishes when buying off-plan (subject to stage)
** 10-Year Build Guarantee
** Handy to Avondale train station and bus routes
** Close to Avondale town centre, key arterials and motorway access
** In-zone for Avondale Primary, Avondale Intermediate and Avondale College

Set above Avondale Racecourse, these smart new homes are designed for low-maintenance living with light-filled interiors and a layout that simply works—ideal for first-home buyers, downsizers, or investors wanting a solid, easy-to-rent option in a high-demand location.

Buying off-plan can mean getting in early and tailoring the look to suit your style (where available). With transport links nearby and schools and shops within easy reach, daily life here is straightforward—and the long-term appeal is clear.
Contact Roman and Joleen for viewing. Conjunctional sales are welcome.
*Land site details are not fully confirmed and are subject to the final title plan.

Read more",Roman Hu : 021590 027 | Joleen Wang : 021525 168
https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/930477,"Lot 21/11&15 Saint Jude Street, Avondale",For sale by negotiation,"Brand-New Avondale: Train-Ready Living

Secure a brand-new, freehold 2-bedroom townhouse in Avondale—modern two-level living close to rail, schools and everyday convenience (under construction; estimated completion September 2026).

** Freehold title (final title plan pending)
** 2 bedrooms + 2 bathrooms
** Two-level layout for easy living
** Brand-new build (under construction; off-plan opportunity)
** Early-Bird Deal is available
** Ability to personalise selected finishes when buying off-plan (subject to stage)
** 10-Year Build Guarantee
** Handy to Avondale train station and bus routes
** Close to Avondale town centre, key arterials and motorway access
** In-zone for Avondale Primary, Avondale Intermediate and Avondale College

Set above Avondale Racecourse, these smart new homes are designed for low-maintenance living with light-filled interiors and a layout that simply works—ideal for first-home buyers, downsizers, or investors wanting a solid, easy-to-rent option in a high-demand location.

Buying off-plan can mean getting in early and tailoring the look to suit your style (where available). With transport links nearby and schools and shops within easy reach, daily life here is straightforward—and the long-term appeal is clear.
Contact Roman and Joleen for viewing. Conjunctional sales are welcome.
*Land site details are not fully confirmed and are subject to the final title plan.

Read more",Roman Hu : 021590 027 | Joleen Wang : 021525 168
