URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/development-site/4102753,"15-17 Liverpool Street, City Centre",For sale by negotiation,"CBD DEVELOPMENT SITE

15-17 Liverpool Street presents a rare, inner-city Freehold development opportunity, positioned within the heart of Auckland’s established education precinct.

Comprising 803m² of strategically located land, the site sits within a short walk of both The University of Auckland and Auckland University of Technology, placing it firmly within one of the city’s most consistent demand generators for residential, student accommodation, and mixed-use development.

Located approximately 350–500 metres from Karanga-a-Hape Station (City Rail Link), the property sits within a transport-led regeneration corridor that is reshaping Auckland’s CBD fringe. The convergence of tertiary education demand, major infrastructure investment, and constrained land supply is accelerating intensification throughout the precinct.

Zoned Business - City Centre, with floor area ratio controls removed and a general 50-metre height overlay (subject to planning controls), the site offers exceptional flexibility for high-density redevelopment. Potential schemes include purpose-built student accommodation, build-to-rent, hotel, residential, or commercial development.

Currently generating short-term holding income, the property provides flexibility for intensification in one of Auckland’s most tightly held growth areas.

A genuine blank canvas, underpinned by structural demand drivers and long-term area transformation.

INVESTMENT HIGHLIGHTS:

803m² Freehold landholding
Business - City Centre zoning
General 50 metre height overlay (subject to planning controls)
Located within Auckland’s education precinct
Walking distance to major universities
350–500 metres to Karanga-a-Hape CRL Station
Generating short-term holding income
Multiple high-density redevelopment options

For sale by Expressions of Interest closing 4:00pm, Wednesday 8 April 2026 (unless sold prior).

View website here: symondsstreetportfolio.com

Read more",Ian Hall : 021451 411 | John Stringer : 021758 078
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/office/4100795,"17 Galatos Street, City Centre",Deadline sale closes 31st March 2026 at 2:00PM(unless sold prior),"ICONIC. VERSATILE. FUTURE PROOFED.

17 Galatos Street represents a rare, vacant possession, character opportunity for investors or occupiers targeting Auckland's urban intensification. This iconic standalone structure offers a versatile blank canvas for hospitality visionaries, creative converters, or strategic developers.

Positioned in the western CBD just off the historic Karangahape Road ridge, the property is within a short stroll of the nearing completion Karanga-a-Hape Station, which is forecast to handle up to 40,000 daily commuters. This CRL location offers unparalleled accessibility to the education precinct, Ponsonby, and the upper CBD, ensuring the area remains a primary choice for high-density development and commercial activity.

The versatile 578m² building is divided into three spaces across the three levels, each with bathrooms. Features include a stunning 5.9 metre high-stud ground floor with original native timber floors, a character loft space, and a functional basement bar area with separate access. The investment is underpinned by a 350m² Fee Simple landholding. The flexible Business - City Centre zoning ensures significant future-proofing with a development height potential of 31 to 36 metres.

Available with vacant possession (and optional business assets), this high-profile site offers a versatile layout and an atmospheric vibe. It’s a turnkey flagship for owner-occupiers, a prime candidate for repositioning, or a future redevelopment play given the nearing rail network expansion. Positioned in the heart of Auckland’s premier cultural district, it’s ready-made to ride the wave of local growth.

Read more",Cam Paterson : 021451 666
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/office/4102754,"7 City Road, City Centre",For sale by negotiation,"STRATEGIC INVESTMENT - VALUE ADD OR CONVERSION

7 City Road is a 12-level office building occupying a 1,072m² Freehold site within Auckland’s tightly held education precinct.

The property provides approximately 5,186m² of net lettable area and benefits from an exceptional A+ grade seismic rating - a critical differentiator for tenant retention and future-proofed performance. The building generates net passing income of approximately $1,025,483 per annum, presenting clear near-term upside through proactive leasing of existing vacancy.

With an average net rental of approximately $260/m² and a relatively short WALT profile, the asset offers genuine strategic flexibility - enabling investors to capture leasing upside with an estimated fully leased income of circa $1,675,630 per annum, or reposition the building in line with the precinct’s ongoing intensification.

The property is located within close proximity to The University of Auckland and Auckland University of Technology, ensuring sustained occupational demand. Accessibility will be materially enhanced by the completion of Karanga-a-Hape Station (City Rail Link), approximately 350–500 metres away, reinforcing long-term capital growth and redevelopment fundamentals.

Zoned Business - City Centre with a 50-metre height overlay, the site offers scope for vertical expansion or potential conversion to alternative uses, including purpose-built student accommodation, build-to-rent, residential or mixed-use development (subject to approvals).

7 City Road represents a compelling value-add acquisition - combining income today, substantial leasing upside, and multiple future repositioning pathways within one of Auckland’s most resilient growth corridors.

INVESTMENT HIGHLIGHTS:

1,072m² Freehold site
5,186m² NLA across 12 levels
A+ grade seismic rating
92 secure on-site car parks
Business - City Centre zoning (50 metre height overlay)
66% occupancy
Net passing income - circa $1,025,483 per annum
Estimated fully leased income - circa $1,675,630 per annum
Average net rental - circa $260/m²
Short WALT profile providing active asset management flexibility
Located within Auckland’s education precinct
Walking distance to Karanga-a-Hape CRL Station
Strong conversion and redevelopment potential
Significant leasing upside

For sale by Expressions of Interest closing 4:00pm, Wednesday 8 April 2026 (unless sold prior).

View website here: symondsstreetportfolio.com

Read more",Ian Hall : 021451 411 | John Stringer : 021758 078
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/office/4102755,"69 Symonds Street, City Centre",For sale by negotiation,"UNDERDEVELOPED OFFICE WITH EXPANSION POTENTIAL

69 Symonds Street comprises a two-level podium office building positioned on a substantial 1,608m² Freehold site within Auckland’s established education precinct.

The property provides approximately 1,372m² of net lettable area and is 100% leased to Whitecliffe College, generating net passing income of approximately $513,395 per annum. The secure tenancy offers stable holding income, while longer-term value is driven by the site’s underlying land component and development potential.

Improved with only a two-level structure and benefiting from Business - City Centre zoning with a 50-metre height overlay, the property is materially underdeveloped relative to allowable planning parameters. This provides clear scope for vertical expansion or comprehensive redevelopment in line with precinct intensification.

Located on the Symonds Street ridgeline, the property sits within walking distance of The University of Auckland and Auckland University of Technology. The forthcoming Karanga-a-Hape Station (City Rail Link), approximately 350–500 metres away, will further enhance connectivity and support long-term capital growth across the area.

With 52 secure on-site car parks and established integration with adjoining assets, 69 Symonds Street presents a strategic acquisition - either as a standalone land-bank with income, or in conjunction with neighbouring holdings to unlock greater redevelopment scale.

INVESTMENT HIGHLIGHTS:

1,608m² Freehold site
1,372m² NLA
Two-level podium building
52 secure on-site car parks
Business - City Centre zoning (50 metre height overlay)
100% occupancy
Net passing income - circa $513,395 per annum
Leased to an established tertiary tenant
Underdeveloped with vertical expansion potential
Strong underlying land value
Ability to integrate with adjoining assets for greater scale

For sale by Expressions of Interest closing 4:00pm, Wednesday 8 April 2026 (unless sold prior).

View website here: symondsstreetportfolio.com

Read more",Ian Hall : 021451 411 | John Stringer : 021758 078
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/office/4102756,"67 Symonds Street, City Centre",For sale by negotiation,"FULLY LEASED TOWER WITH 249 CAR PARKS

67 Symonds Street is a substantial 14-level commercial tower occupying an expansive 3,800m² Freehold site within Auckland’s established education precinct.

Providing approximately 7,094m² of net lettable area, the building is 100% leased to The University of Auckland and Whitecliffe College, generating net passing income of approximately $2,717,780 per annum at an average net rental of $255/m². The strength of covenant, combined with full occupancy, delivers secure and stable cash flow underpinned by two established tertiary institutions.

A feature of the asset is its 249 secure on-site car parks - one of the most substantial parking allocations in the CBD fringe. In an increasingly parking-constrained city environment, this scale of parking materially enhances tenant retention, supports income stability, and provides significant strategic value for any future intensification or redevelopment scenario.

Positioned prominently on the Symonds Street ridgeline, the property benefits from proximity to the Auckland University of Technology and is within approximately 350-500 metres of Karanga-a-Hape Station (City Rail Link). This transformative infrastructure project will further strengthen accessibility, pedestrian flow, and long-term capital growth prospects.

Zoned Business - City Centre with a 50-metre height overlay, the site offers long-term redevelopment optionality while delivering significant income at conservative average rental levels.

67 Symonds Street represents a compelling combination of secure educational cashflow, scale, car parking, and strategic land value in one of Auckland’s most resilient growth corridors.

INVESTMENT HIGHLIGHTS:

3,800m² Freehold site
7,094m² NLA across nine office levels (five basement car parking levels)
Business - City Centre zoning (50 metre height overlay)
100% occupancy
Net passing income - circa $2,717,780 per annum
Average net office rental - $255/m²
Leased to established tertiary institutions
Located within Auckland’s education precinct
Walking distance to Karanga-a-Hape CRL Station
249 car parks provide significant strategic value
Long-term redevelopment or intensification options

For sale by Expressions of Interest closing 4:00pm, Wednesday 8 April 2026 (unless sold prior).

View website here: symondsstreetportfolio.com

Read more",Ian Hall : 021451 411 | John Stringer : 021758 078
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/office/4102757,"57 Symonds Street, City Centre",For sale by negotiation,"STRATEGIC CBD OFFICE INVESTMENT WITH UPSIDE

57 Symonds Street is a substantial nine-level office building occupying a prominent 2,345m² Freehold site within Auckland’s tightly held education precinct.

The property provides approximately 3,722m² of net lettable area and benefits from an A-grade seismic rating, offering investors confidence in structural performance and tenant appeal. Currently 86% occupied, the building generates a net passing income of circa $1,118,956 per annum, with clear short-term upside through the leasing of existing vacancy.

Positioned on the Symonds Street ridgeline within Auckland’s established education precinct, the property sits between the campuses of The University of Auckland and Auckland University of Technology - a location underpinned by sustained occupational demand and long-term resilience. The upcoming Karanga-a-Hape Station (City Rail Link), approximately 350–500 metres away, will materially enhance connectivity and accessibility to the wider CBD and metropolitan network.

Business - City Centre zoning with a 50-metre height overlay provides long-term redevelopment flexibility, allowing investors to consider vertical expansion or comprehensive redevelopment in line with precinct growth.

This is a well-located, income-producing asset offering secure cash flow today, leasing upside in the short term, and strategic redevelopment scale over the long term.

INVESTMENT HIGHLIGHTS:

2,345m² Freehold site
3,722m² NLA across nine levels
A-grade seismic rating
65 on-site car parks
Business - City Centre zoning (50m height overlay)
Net passing income - circa $1,118,956 per annum
86% occupancy
Immediate leasing upside
High-profile arterial frontage
Located within Auckland’s education precinct
Walking distance to Karanga-a-Hape CRL Station
Long-term redevelopment or intensification options

For sale by Expressions of Interest closing 4:00pm, Wednesday 8 April 2026 (unless sold prior).

View website here: symondsstreetportfolio.com

Read more",Ian Hall : 021451 411 | John Stringer : 021758 078
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/retail/4102631,"1E Courthouse Lane, City Centre","For Sale $715,000Plus GST (if any)","FULLY FITTED CBD HOSPITALITY INVESTMENT

A fantastic opportunity to acquire a versatile shop in the heart of the CBD, located within the popular Metropolis building. This property offers dual access, either from Courthouse Lane or via an escalator from High Street, providing excellent visibility and foot traffic.

The premises comprises approximately 53m² of floor area, plus additional outdoor space, currently operating as a Korean restaurant with a liquor license. The layout includes a fully equipped kitchen, dining area, bathroom, and outdoor dining. There is also access to the common area toilets on the same level.

This property presents a turnkey option for an owner-occupier or a solid investment opportunity, with strong leasing potential if purchased by an investor.

KEY FEATURES:

53m² shop with additional outdoor space
Dual access from Courthouse Lane and High Street via escalator
Fully fitted kitchen, dining, bathrooms, and outdoor dining area
Currently operating as a Korean restaurant with a liquor license
Access to common area toilets on the same level
Turnkey option for owner-occupiers
Strong leasing appeal for investors

This is a rare chance to secure a well-located, fully equipped CBD shop with flexible usage and excellent growth potential.

Read more",Jane Tang : 021780 661 | Macauley Seo : 021528 234
https://www.barfoot.co.nz/property/commercial/auckland-city/eden-terrace/industrial/4104081,"Unit 4/1 Porters Avenue, Eden Terrace",Auction Wednesday 1st April 2026(unless sold prior),"INDUSTRIAL ASSET - AUCTION DEADLINE LOOMS!


$113,000 net annual return
460m² high utility office/warehouse
12 marked on-site car parks
Secure passive income with proven rental upside

Seize this rare inner-city industrial opportunity before the hammer falls.

Offering exceptional versatility and significant growth potential, this 460m² dual-purpose asset is a standout performer. The configuration features a functional high-stud warehouse with seamless cart dock access via a roller door, paired with a premium office/showroom designed to impress.

With 12 marked car parks, on-site parking is a major competitive advantage. Currently anchored by two established tenancies generating a robust $113,000 net per annum, the property is perfectly positioned for the future. Located just minutes from major motorway interchanges and timed to capitalise on the imminent opening of the CRL Mt Eden station, this is a high-conviction investment in one of the city’s most supply-constrained fringe locations.

Our instructions are clear: this must be sold.

Read more",Reese Barragar : 027555 2122
https://www.barfoot.co.nz/property/commercial/auckland-city/mt-wellington/industrial/4102199,"Unit 14/26 Harrison Road, Mt Wellington","For Sale $758,000Plus GST (if any)","HIGH STUD SHOWROOM / INDUSTRIAL UNIT

Barfoot & Thompson Commercial proudly presents this near-new, fully fitted out, 90m² industrial corner unit in the sought-after Mt Wellington Industrial Park.

Suitable for trades, showrooms, warehousing, light manufacturing, storage, e-commerce, and many other uses. An extensive fitout has been completed, including feature walls and ceilings, wooden floors, cabinets and kitchenette, tinted windows, a heat pump, and so much more.

KEY FEATURES:

Stratum in Freehold
Approximately 90m² floor area (60m² warehouse plus 30m² mezzanine office)
Eight dedicated car parks plus visitor parking
Roller door access
Corner unit with great natural light
Accessible bathroom with shower
Securely gated after-hours
Shared container drop area
Zoned Business – Light Industry
Vacant possession

This is one of the larger units in the complex with a very practical configuration. This premium-quality, low-maintenance unit is rare and ideal for owner-occupiers. The motivated vendor will throw in the extensive fitout free of charge.

For more information or to arrange a viewing, please contact the sole agent.

Read more",Ruby Duan : 021024 68787
https://www.barfoot.co.nz/property/commercial/auckland-city/newmarket/retail/4097191,"489 Khyber Pass Road, Newmarket",Deadline sale closes 15th April 2026 at 2:00PM(unless sold prior),"CORNER CHARACTER TROPHY INVESTMENT


653m² contemporary character building
Returning $360,000 net per annum
531m² site zoned Business - Metropolitan Centre
High exposure corner site

This premium contemporary character building occupies a commanding corner position in one of Auckland's most sought-after commercial precincts. Fully leased and anchored by two proven tenants, this asset offers investors exceptional stability, consistent rental growth, and long-term capital appreciation potential.

Strategically situated in the heart of Newmarket, the property is perfectly positioned to benefit from the area's premier amenities, including the Westfield Shopping Centre and the Newmarket train station. The high-profile nature of the site is further enhanced by significant signage rights, ensuring maximum brand visibility in a high-traffic location.

Opportunities to acquire a Freehold asset of this calibre in a thriving Metropolitan Zone are rare. This is a blue-chip addition to any portfolio, combining architectural character with robust commercial fundamentals.

Read more",Reese Barragar : 027555 2122 | Ruby Duan : 021024 68787
